"date","pm2.5","dew","temp","press","wnd_dir","wnd_spd","snow","rain"
2010-01-02 00:00:00,129,-16,-4,1020,4,1.79,0,0
2010-01-02 01:00:00,148,-15,-4,1020,4,2.68,0,0
2010-01-02 02:00:00,159,-11,-5,1021,4,3.57,0,0
2010-01-02 03:00:00,181,-7,-5,1022,4,5.36,1,0
2010-01-02 04:00:00,138,-7,-5,1022,4,6.25,2,0
2010-01-02 05:00:00,109,-7,-6,1022,4,7.14,3,0
2010-01-02 06:00:00,105,-7,-6,1023,4,8.93,4,0
2010-01-02 07:00:00,124,-7,-5,1024,4,10.72,0,0
2010-01-02 08:00:00,120,-8,-6,1024,4,12.51,0,0
2010-01-02 09:00:00,132,-7,-5,1025,4,14.3,0,0
2010-01-02 10:00:00,140,-7,-5,1026,4,17.43,1,0
2010-01-02 11:00:00,152,-8,-5,1026,4,20.56,0,0
2010-01-02 12:00:00,148,-8,-5,1026,4,23.69,0,0
2010-01-02 13:00:00,164,-8,-5,1025,4,27.71,0,0
2010-01-02 14:00:00,158,-9,-5,1025,4,31.73,0,0
2010-01-02 15:00:00,154,-9,-5,1025,4,35.75,0,0
2010-01-02 16:00:00,159,-9,-5,1026,4,37.54,0,0
2010-01-02 17:00:00,164,-8,-5,1027,4,39.33,0,0
2010-01-02 18:00:00,170,-8,-5,1027,4,42.46,0,0
2010-01-02 19:00:00,149,-8,-5,1028,4,44.25,0,0
2010-01-02 20:00:00,154,-7,-5,1028,4,46.04,0,0
2010-01-02 21:00:00,164,-7,-5,1027,4,49.17,1,0
2010-01-02 22:00:00,156,-8,-6,1028,4,52.3,2,0
2010-01-02 23:00:00,126,-8,-6,1027,4,55.43,3,0
2010-01-03 00:00:00,90,-7,-6,1027,4,58.56,4,0
2010-01-03 01:00:00,63,-8,-6,1026,4,61.69,5,0
2010-01-03 02:00:00,65,-8,-7,1026,4,65.71,6,0
2010-01-03 03:00:00,55,-8,-7,1025,4,68.84,7,0
2010-01-03 04:00:00,65,-8,-7,1024,4,72.86,8,0
2010-01-03 05:00:00,83,-9,-8,1024,4,76.88,9,0
2010-01-03 06:00:00,91,-10,-8,1024,4,80.9,10,0
2010-01-03 07:00:00,86,-10,-9,1024,4,84.92,11,0
2010-01-03 08:00:00,82,-10,-9,1024,4,89.84,12,0
2010-01-03 09:00:00,86,-11,-9,1023,4,93.86,13,0
2010-01-03 10:00:00,78,-11,-9,1023,4,97.88,15,0
2010-01-03 11:00:00,98,-11,-9,1022,4,102.8,16,0
2010-01-03 12:00:00,107,-11,-9,1021,4,105.93,17,0
2010-01-03 13:00:00,90,-11,-9,1020,4,111.74,19,0
2010-01-03 14:00:00,96,-11,-9,1020,4,116.66,20,0
2010-01-03 15:00:00,95,-11,-9,1020,4,121.58,21,0
2010-01-03 16:00:00,86,-11,-9,1020,4,124.71,22,0
2010-01-03 17:00:00,70,-11,-9,1020,4,127.84,23,0
2010-01-03 18:00:00,61,-11,-9,1021,1,0.89,24,0
2010-01-03 19:00:00,53,-11,-9,1022,1,1.78,25,0
2010-01-03 20:00:00,71,-10,-9,1022,3,4.02,26,0
2010-01-03 21:00:00,72,-11,-10,1023,3,7.15,27,0
2010-01-03 22:00:00,76,-11,-9,1023,3,11.17,0,0
2010-01-03 23:00:00,73,-12,-11,1023,3,14.3,0,0
2010-01-04 00:00:00,79,-14,-12,1023,3,16.09,0,0
2010-01-04 01:00:00,58,-16,-9,1023,3,21.9,0,0
2010-01-04 02:00:00,25,-17,-10,1024,3,29.95,0,0
2010-01-04 03:00:00,26,-18,-11,1024,3,39.78,0,0
2010-01-04 04:00:00,28,-19,-11,1025,3,48.72,0,0
2010-01-04 05:00:00,26,-20,-12,1026,3,55.87,0,0
2010-01-04 06:00:00,20,-21,-12,1027,3,64.81,0,0
2010-01-04 07:00:00,29,-21,-13,1027,3,73.75,0,0
2010-01-04 08:00:00,26,-22,-13,1028,3,80.9,0,0
2010-01-04 09:00:00,27,-22,-13,1029,3,90.73,0,0
2010-01-04 10:00:00,27,-22,-12,1030,3,100.56,0,0
2010-01-04 11:00:00,25,-23,-12,1031,3,108.61,0,0
2010-01-04 12:00:00,29,-21,-11,1030,3,117.55,0,0
2010-01-04 13:00:00,32,-20,-10,1030,3,127.38,0,0
2010-01-04 14:00:00,28,-21,-10,1030,3,136.32,0,0
2010-01-04 15:00:00,29,-21,-9,1030,3,145.26,0,0
2010-01-04 16:00:00,30,-21,-9,1031,3,152.41,0,0
2010-01-04 17:00:00,30,-20,-11,1032,3,159.56,0,0
2010-01-04 18:00:00,28,-23,-11,1032,3,165.37,0,0
2010-01-04 19:00:00,26,-21,-12,1033,3,171.18,0,0
2010-01-04 20:00:00,31,-24,-12,1034,3,180.12,0,0
2010-01-04 21:00:00,33,-24,-13,1034,3,187.27,0,0
